ThreadsX,ThreadsY,MatrixSize,MinValue,MaxValue,Time(mcs)
4,4,100,0,100,148
4,4,5100,0,100,1851935
4,4,10100,0,100,14021561
4,4,15100,0,100,45209648
8,8,100,0,100,224
8,8,5100,0,100,411590
8,8,10100,0,100,3057675
8,8,15100,0,100,10968290
16,16,100,0,100,180
16,16,5100,0,100,298686
16,16,10100,0,100,2170304
16,16,15100,0,100,6898926
32,32,100,0,100,225
32,32,5100,0,100,322655
32,32,10100,0,100,2423211
32,32,15100,0,100,8097540
