Matrix Size,Execution Times,Confidence Interval Lower,Confidence Interval Upper
2,"0,0,0,0,0",0.0,0.0
52,"0,0,0,0,0",0.0,0.0
102,"4,4,3,3,4",2.92,4.28
152,"12,11,10,10,14",9.322,13.478
202,"27,29,31,24,31",24.717,32.083
252,"51,56,51,55,59",50.135,58.665
302,"97,98,96,86,93",87.981,100.019
352,"142,145,139,142,145",139.483,145.717
402,"214,217,218,216,223",213.426,221.774
452,"315,326,306,331,324",308.089,332.711
502,"436,430,436,425,426",424.053,437.147
552,"597,575,602,554,611",559.142,616.458
602,"757,741,702,737,700",696.054,758.746
652,"901,927,914,887,888",882.063,924.737
702,"1124,1105,1135,1085,1140",1089.576,1146.024
752,"1397,1375,1407,1365,1387",1365.379,1407.021
802,"1655,1693,1691,1658,1631",1632.965,1698.235
852,"1978,1986,1987,1987,2000",1977.8,1997.4
902,"2398,2346,2360,2366,2366",2343.537,2390.863
952,"2719,2791,2749,2759,2779",2724.704,2794.096
1002,"3288,3222,3197,3221,3199",3179.554,3271.246
1052,"3743,3720,3744,3705,3703",3698.369,3747.631
1102,"4295,4269,4387,4731,4690",4200.713,4748.087
1152,"5250,5051,5221,5567,5250",5036.048,5499.552
1202,"5777,5818,5825,5946,5716",5711.582,5921.218
