Matrix Size,Execution Times,Confidence Interval Lower,Confidence Interval Upper
2,"0,0,0,0,0",0.0,0.0
52,"0,0,0,0,0",0.0,0.0
102,"2,2,2,2,2",2.0,2.0
152,"6,7,6,7,7",5.92,7.28
202,"15,17,17,16,16",15.161,17.239
252,"30,33,33,30,30",29.16,33.24
302,"62,57,58,50,55",50.945,61.855
352,"81,85,86,83,81",80.369,86.031
402,"120,120,119,120,120",119.245,120.355
452,"183,169,170,170,182",166.046,183.554
502,"261,244,231,233,231",223.954,256.046
552,"319,310,311,321,309",307.087,320.913
602,"426,418,407,420,446",405.544,441.256
652,"511,543,507,550,558",504.874,562.726
702,"636,633,716,643,632",607.257,696.743
752,"786,778,801,863,787",760.104,845.896
802,"949,950,947,954,946",945.333,953.067
852,"1174,1171,1133,1132,1135",1122.297,1175.703
902,"1346,1359,1345,1345,1350",1341.602,1356.398
952,"1583,1579,1599,1633,1611",1573.683,1628.317
1002,"1883,1849,1847,1844,1862",1837.037,1876.963
1052,"2168,2170,2206,2178,2176",2160.574,2198.626
1102,"2691,2493,2475,2488,2467",2405.351,2640.249
1152,"2837,2867,2829,2892,2839",2820.274,2885.326
1202,"3243,3244,3258,3242,3285",3231.664,3277.136
